id,screen_size,cpu,ram,memory,gpu
Apple_1,medium,intel,medium,SSD,Intel
Apple_2,medium,intel,medium,flash,Intel
HP_1,medium,intel,medium,SSD,Intel
Apple_3,medium,intel,large,SSD,AMD
Acer_1,medium,amd,small,HDD,AMD
Apple_4,medium,intel,large,flash,Intel
Asus_1,medium,intel,large,SSD,Nvidia
Acer_2,medium,intel,medium,SSD,Intel
HP_2,medium,intel,small,HDD,Intel
Dell_1,medium,intel,small,SSD,AMD
Apple_5,small,intel,medium,SSD,Intel
Dell_2,medium,intel,medium,SSD,AMD
Lenovo_1,medium,intel,medium,HDD,Nvidia
Dell_3,medium,intel,medium,SSD,Intel
Asus_2,small,intel,small,flash,Intel
Lenovo_2,medium,intel,medium,SSD + HDD,Nvidia
HP_3,medium,amd,small,HDD,AMD
Dell_4,medium,intel,small,HDD,Intel
HP_4,large,intel,medium,HDD,Nvidia
Chuwi_1,medium,intel,small,flash,Intel
Asus_3,medium,amd,small,flash,AMD
HP_5,large,amd,small,HDD,AMD
Dell_5,medium,intel,large,SSD,Intel
Lenovo_3,medium,intel,small,flash,Intel
Acer_3,medium,intel,small,HDD,Intel
Dell_6,large,intel,medium,SSD + HDD,AMD
HP_6,medium,intel,medium,SSD,Nvidia
Asus_4,medium,intel,small,HDD,Intel
Dell_7,medium,intel,large,SSD + HDD,Nvidia
Asus_5,medium,intel,medium,HDD,Nvidia
Acer_4,medium,intel,small,SSD,Intel
Dell_8,large,intel,medium,HDD,Nvidia
Lenovo_4,medium,intel,small,SSD,Intel
Asus_6,large,amd,medium,SSD + HDD,AMD
Asus_7,large,intel,small,HDD,Nvidia
Lenovo_5,small,intel,small,flash,Intel
Acer_5,medium,intel,medium,SSD,Nvidia
HP_7,medium,amd,small,SSD,AMD
HP_8,medium,intel,small,SSD,Intel
Asus_8,medium,intel,small,SSD,Intel
MSI_1,large,intel,large,SSD + HDD,Nvidia
Dell_9,large,intel,large,SSD + HDD,AMD
Lenovo_6,medium,intel,medium,SSD,Intel
Asus_9,medium,intel,medium,SSD,Intel
HP_9,medium,intel,small,HDD,AMD
Lenovo_7,medium,intel,small,HDD,Intel
Asus_10,large,intel,medium,HDD,Nvidia
Microsoft_1,medium,intel,small,SSD,Intel
MSI_2,large,intel,medium,SSD + HDD,Nvidia
Acer_6,medium,intel,medium,HDD,Intel
Lenovo_8,medium,intel,medium,HDD,Intel
Dell_10,medium,intel,medium,SSD + HDD,Intel
Acer_7,medium,intel,small,HDD,Nvidia
HP_10,large,intel,medium,SSD + HDD,Nvidia
Lenovo_9,medium,amd,small,SSD,AMD
Asus_11,medium,intel,large,SSD + HDD,Nvidia
Asus_12,medium,amd,medium,HDD,AMD
Acer_8,medium,intel,medium,HDD,Nvidia
HP_11,medium,intel,large,SSD,Intel
Dell_11,medium,intel,medium,SSD,Nvidia
Dell_12,medium,intel,medium,HDD,AMD
Asus_13,medium,intel,small,SSD,Nvidia
HP_12,medium,intel,medium,SSD + HDD,Nvidia
HP_13,medium,intel,medium,SSD,AMD
Microsoft_2,medium,intel,medium,SSD,Intel
HP_14,medium,intel,small,SSD,Nvidia
Asus_14,medium,intel,medium,SSD,Nvidia
MSI_3,medium,intel,large,SSD + HDD,Nvidia
Dell_13,medium,intel,medium,SSD + HDD,Nvidia
Lenovo_10,medium,intel,medium,SSD,Nvidia
HP_15,large,intel,large,SSD,Nvidia
Acer_9,medium,amd,small,SSD,AMD
HP_16,medium,intel,medium,HDD,Intel
Asus_15,medium,amd,small,SSD,AMD
HP_17,large,intel,medium,SSD,Intel
Dell_14,medium,intel,small,HDD,AMD
Acer_10,medium,intel,small,SSD,Nvidia
Asus_16,large,intel,medium,SSD + HDD,Nvidia
Lenovo_11,medium,intel,small,HDD,Nvidia
Acer_11,large,intel,small,HDD,Nvidia
Lenovo_12,medium,intel,medium,SSD,AMD
Toshiba_1,medium,intel,small,HDD,Intel
HP_18,small,intel,medium,SSD,Intel
Dell_15,medium,intel,large,SSD,Nvidia
HP_19,medium,intel,small,SSD,AMD
Asus_17,medium,amd,small,HDD,AMD
Acer_12,large,intel,small,SSD,Nvidia
Lenovo_13,medium,intel,large,SSD,Nvidia
Acer_13,large,intel,medium,SSD,Nvidia
Huawei_1,medium,intel,medium,SSD,Intel
HP_20,large,intel,small,HDD,AMD
Lenovo_14,medium,amd,small,HDD,AMD
HP_21,large,intel,medium,SSD,Nvidia
Dell_16,medium,intel,medium,HDD,Intel
Lenovo_15,medium,intel,medium,SSD + HDD,AMD
Dell_17,medium,intel,large,SSD + HDD,AMD
Lenovo_16,medium,intel,large,SSD,Intel
Toshiba_2,medium,intel,medium,SSD,Intel
