id,company,screen_size,cpu,ram,memory,gpu
0,Apple,medium,intel,medium,SSD,Intel
1,Apple,medium,intel,medium,flash,Intel
2,HP,medium,intel,medium,SSD,Intel
3,Apple,medium,intel,large,SSD,AMD
4,Acer,medium,amd,small,HDD,AMD
5,Apple,medium,intel,large,flash,Intel
6,Asus,medium,intel,large,SSD,Nvidia
7,Acer,medium,intel,medium,SSD,Intel
8,HP,medium,intel,small,HDD,Intel
9,Dell,medium,intel,small,SSD,AMD
10,Apple,small,intel,medium,SSD,Intel
11,Dell,medium,intel,medium,SSD,AMD
12,Lenovo,medium,intel,medium,HDD,Nvidia
13,Dell,medium,intel,medium,SSD,Intel
14,Asus,small,intel,small,flash,Intel
15,Lenovo,medium,intel,medium,SSD + HDD,Nvidia
16,HP,medium,amd,small,HDD,AMD
17,Dell,medium,intel,small,HDD,Intel
18,HP,large,intel,medium,HDD,Nvidia
19,Chuwi,medium,intel,small,flash,Intel
20,Asus,medium,amd,small,flash,AMD
21,HP,large,amd,small,HDD,AMD
22,Dell,medium,intel,large,SSD,Intel
23,Lenovo,medium,intel,small,flash,Intel
24,Acer,medium,intel,small,HDD,Intel
25,Dell,large,intel,medium,SSD + HDD,AMD
26,HP,medium,intel,medium,SSD,Nvidia
27,Asus,medium,intel,small,HDD,Intel
28,Dell,medium,intel,large,SSD + HDD,Nvidia
29,Asus,medium,intel,medium,HDD,Nvidia
30,Acer,medium,intel,small,SSD,Intel
31,Dell,large,intel,medium,HDD,Nvidia
32,Lenovo,medium,intel,small,SSD,Intel
33,Asus,large,amd,medium,SSD + HDD,AMD
34,Asus,large,intel,small,HDD,Nvidia
35,Lenovo,small,intel,small,flash,Intel
36,Acer,medium,intel,medium,SSD,Nvidia
37,HP,medium,amd,small,SSD,AMD
38,HP,medium,intel,small,SSD,Intel
39,Asus,medium,intel,small,SSD,Intel
40,MSI,large,intel,large,SSD + HDD,Nvidia
41,Dell,large,intel,large,SSD + HDD,AMD
42,Lenovo,medium,intel,medium,SSD,Intel
43,Asus,medium,intel,medium,SSD,Intel
44,HP,medium,intel,small,HDD,AMD
45,Lenovo,medium,intel,small,HDD,Intel
46,Asus,large,intel,medium,HDD,Nvidia
47,Microsoft,medium,intel,small,SSD,Intel
48,MSI,large,intel,medium,SSD + HDD,Nvidia
49,Acer,medium,intel,medium,HDD,Intel
50,Lenovo,medium,intel,medium,HDD,Intel
51,Dell,medium,intel,medium,SSD + HDD,Intel
52,Acer,medium,intel,small,HDD,Nvidia
53,HP,large,intel,medium,SSD + HDD,Nvidia
54,Lenovo,medium,amd,small,SSD,AMD
55,Asus,medium,intel,large,SSD + HDD,Nvidia
56,Asus,medium,amd,medium,HDD,AMD
57,Acer,medium,intel,medium,HDD,Nvidia
58,HP,medium,intel,large,SSD,Intel
59,Dell,medium,intel,medium,SSD,Nvidia
60,Dell,medium,intel,medium,HDD,AMD
61,Asus,medium,intel,small,SSD,Nvidia
62,HP,medium,intel,medium,SSD + HDD,Nvidia
63,HP,medium,intel,medium,SSD,AMD
64,Microsoft,medium,intel,medium,SSD,Intel
65,HP,medium,intel,small,SSD,Nvidia
66,Asus,medium,intel,medium,SSD,Nvidia
67,MSI,medium,intel,large,SSD + HDD,Nvidia
68,Dell,medium,intel,medium,SSD + HDD,Nvidia
69,Lenovo,medium,intel,medium,SSD,Nvidia
70,HP,large,intel,large,SSD,Nvidia
71,Acer,medium,amd,small,SSD,AMD
72,HP,medium,intel,medium,HDD,Intel
