id,company,cpu,ram,memory,gpu
0,Apple,intel,8,SSD,Intel
1,Apple,intel,8,flash,Intel
2,HP,intel,8,SSD,Intel
3,Apple,intel,16,SSD,AMD
4,Acer,amd,4,HDD,AMD
5,Apple,intel,16,flash,Intel
6,Asus,intel,16,SSD,Nvidia
7,Acer,intel,8,SSD,Intel
8,HP,intel,4,HDD,Intel
9,Dell,intel,4,SSD,AMD
10,Dell,intel,8,SSD,AMD
11,Lenovo,intel,8,HDD,Nvidia
12,Dell,intel,8,SSD,Intel
13,Asus,intel,2,flash,Intel
14,Lenovo,intel,8,SSD + HDD,Nvidia
15,HP,amd,4,HDD,AMD
16,Dell,intel,4,HDD,Intel
17,HP,intel,8,HDD,Nvidia
18,Chuwi,intel,4,flash,Intel
19,Asus,amd,2,flash,AMD
20,Dell,intel,16,SSD,Intel
21,Lenovo,intel,4,flash,Intel
22,Acer,intel,4,HDD,Intel
23,Dell,intel,8,SSD + HDD,AMD
24,HP,intel,8,SSD,Nvidia
25,Asus,intel,4,HDD,Intel
26,Dell,intel,16,SSD + HDD,Nvidia
27,Asus,intel,8,HDD,Nvidia
28,Acer,intel,4,SSD,Intel
29,Dell,intel,12,HDD,Nvidia
30,Lenovo,intel,4,SSD,Intel
31,Asus,amd,8,SSD + HDD,AMD
32,Asus,intel,4,HDD,Nvidia
33,Acer,intel,8,SSD,Nvidia
34,HP,amd,4,SSD,AMD
35,HP,intel,4,SSD,Intel
36,Asus,intel,4,SSD,Intel
37,MSI,intel,16,SSD + HDD,Nvidia
38,Dell,intel,16,SSD + HDD,AMD
39,Lenovo,intel,8,SSD,Intel
40,Asus,intel,8,SSD,Intel
41,HP,intel,4,HDD,AMD
42,Lenovo,intel,4,HDD,Intel
43,Asus,intel,12,HDD,Nvidia
44,Microsoft,intel,4,SSD,Intel
45,MSI,intel,8,SSD + HDD,Nvidia
46,Acer,intel,8,HDD,Intel
47,Lenovo,intel,8,HDD,Intel
48,Dell,intel,8,SSD + HDD,Intel
49,Acer,intel,4,HDD,Nvidia
50,HP,intel,8,SSD + HDD,Nvidia
51,Lenovo,amd,4,SSD,AMD
52,Asus,intel,16,SSD + HDD,Nvidia
