experience_level,job_title,remote_ratio,salary_in_usd,company_size
SE,Principal Data Scientist,100,85847,L
MI,ML Engineer,100,30000,S
MI,ML Engineer,100,25500,S
SE,Data Scientist,100,175000,M
SE,Data Scientist,100,120000,M
SE,Applied Scientist,0,222200,L
SE,Applied Scientist,0,136000,L
SE,Data Scientist,0,219000,M
SE,Data Scientist,0,141000,M
SE,Data Scientist,0,147100,M
SE,Data Scientist,0,90700,M
SE,Data Analyst,100,130000,M
SE,Data Analyst,100,100000,M
EN,Applied Scientist,0,213660,L
EN,Applied Scientist,0,130760,L
SE,Data Modeler,0,147100,M
SE,Data Modeler,0,90700,M
SE,Data Scientist,0,170000,M
SE,Data Scientist,0,150000,M
MI,Data Analyst,100,150000,M
MI,Data Analyst,100,110000,M
SE,Research Engineer,0,275000,M
SE,Research Engineer,0,174000,M
SE,Analytics Engineer,100,230000,M
SE,Analytics Engineer,100,143200,M
SE,Business Intelligence Engineer,0,225000,M
SE,Business Intelligence Engineer,0,156400,M
SE,Machine Learning Engineer,0,200000,M
SE,Machine Learning Engineer,0,130000,M
SE,Data Strategist,0,90000,M
SE,Data Strategist,0,72000,M
SE,Data Engineer,0,253200,M
SE,Data Engineer,0,90700,M
SE,Computer Vision Engineer,0,342810,M
SE,Computer Vision Engineer,0,184590,M
MI,Data Engineer,0,162500,M
MI,Data Engineer,0,130000,M
MI,Data Analyst,0,105380,M
MI,Data Analyst,0,64500,M
EN,Data Quality Analyst,100,100000,L
EN,Compliance Data Analyst,100,30000,L
MI,Machine Learning Engineer,50,20984,L
EN,Applied Scientist,0,204620,L
EN,Applied Scientist,0,110680,L
SE,Data Engineer,0,270703,M
SE,Data Engineer,0,221484,M
SE,Data Scientist,100,212750,M
SE,Data Scientist,100,185000,M
SE,Data Scientist,100,262000,M
SE,Data Scientist,100,245000,M
SE,Data Scientist,100,275300,M
SE,Data Scientist,100,183500,M
SE,Data Scientist,100,218500,M
SE,Data Scientist,100,199098,M
SE,Data Engineer,100,203300,M
SE,Data Engineer,100,123600,M
SE,Research Engineer,0,189110,M
SE,Research Engineer,0,139000,M
EX,Data Scientist,0,258750,M
EX,Data Scientist,0,185000,M
SE,Data Engineer,100,231500,M
SE,Data Engineer,100,166000,M
SE,Data Scientist,100,172500,M
SE,Data Scientist,100,110500,M
SE,Data Engineer,0,238000,M
SE,Data Engineer,0,176000,M
SE,Data Engineer,100,237000,M
SE,Data Engineer,100,201450,M
SE,Applied Scientist,0,309400,L
SE,Applied Scientist,0,159100,L
SE,Data Engineer,0,115000,M
SE,Data Engineer,0,81500,M
SE,Data Scientist,100,237000,M
SE,Data Scientist,100,201450,M
SE,Computer Vision Engineer,0,280000,M
SE,Computer Vision Engineer,0,210000,M
SE,Data Architect,100,280100,M
SE,Data Architect,100,168100,M
SE,Data Engineer,100,193500,M
SE,Data Engineer,100,139000,M
MI,Data Scientist,0,65062,L
SE,Machine Learning Engineer,100,150000,M
MI,Applied Machine Learning Engineer,100,69751,S
EN,AI Developer,50,300000,L
MI,Machine Learning Engineer,100,96578,L
SE,Business Intelligence Engineer,0,185900,M
SE,Business Intelligence Engineer,0,129300,M
SE,Data Engineer,100,225000,M
SE,Data Engineer,100,175000,M
SE,Data Engineer,0,185000,M
SE,Data Engineer,0,140000,M
SE,Data Scientist,0,48289,M
SE,Data Scientist,0,38631,M
SE,Data Scientist,0,105000,M
SE,Data Scientist,0,70000,M
EN,Machine Learning Engineer,0,163196,M
EN,Machine Learning Engineer,0,145885,M
SE,Data Engineer,100,217000,M
SE,Data Engineer,100,185000,M
SE,Data Analyst,0,202800,L
SE,Data Analyst,0,104300,L
SE,Data Analyst,0,145000,M
SE,Data Analyst,0,65000,M
SE,Data Engineer,0,165000,M
SE,Data Engineer,0,132300,M
SE,Data Engineer,0,179170,M
SE,Data Engineer,0,94300,M
SE,Analytics Engineer,0,152500,M
SE,Analytics Engineer,0,116450,M
SE,Data Engineer,0,247300,M
SE,Data Engineer,0,133800,M
SE,Research Engineer,0,203000,M
SE,Research Engineer,0,133000,M
EN,Research Scientist,50,220000,L
EN,Machine Learning Engineer,100,56536,S
SE,Data Scientist,0,150000,M
SE,Data Scientist,0,120000,M
SE,Analytics Engineer,0,289800,M
SE,Analytics Engineer,0,214000,M
SE,Analytics Engineer,0,179820,M
SE,Analytics Engineer,0,143860,M
SE,Machine Learning Engineer,100,283200,M
SE,Machine Learning Engineer,100,188800,M
SE,Analytics Engineer,0,289800,M
SE,Analytics Engineer,0,214200,M
SE,Data Engineer,0,185900,M
SE,Data Engineer,0,129300,M
SE,Data Engineer,0,252000,M
SE,Data Engineer,0,129000,M
MI,Data Analytics Manager,0,155000,M
MI,Data Analytics Manager,0,140000,M
SE,Data Engineer,100,161800,M
SE,Data Engineer,100,141600,M
SE,Machine Learning Engineer,0,342300,L
SE,Machine Learning Engineer,0,176100,L
MI,Data Engineer,100,100000,M
MI,Data Engineer,100,70000,M
EN,Data Engineer,0,85000,M
EN,Data Engineer,0,65000,M
SE,Data Scientist,100,138784,M
SE,Data Scientist,100,83270,M
EN,Data Analyst,0,75000,M
EN,Data Analyst,0,70000,M
SE,Data Analyst,0,204500,M
SE,Data Analyst,0,138900,M
SE,Machine Learning Engineer,100,318300,M
SE,Machine Learning Engineer,100,212200,M
SE,Data Engineer,100,95000,M
SE,Data Engineer,100,75000,M
SE,Data Scientist,0,195000,M
SE,Data Scientist,0,160000,M
SE,Analytics Engineer,0,230000,M
SE,Analytics Engineer,0,143200,M
MI,Data Engineer,100,100000,M
MI,Data Engineer,100,70000,M
MI,Business Data Analyst,50,105000,L
MI,Applied Data Scientist,100,20670,L
MI,Data Analyst,0,46178,M
MI,Data Analyst,0,42533,M
SE,Data Engineer,0,145000,M
SE,Data Engineer,0,115000,M
SE,Data Analyst,0,168400,M
SE,Data Analyst,0,105200,M
SE,Applied Scientist,0,309400,L
SE,Applied Scientist,0,159100,L
SE,Machine Learning Engineer,0,190000,M
SE,Machine Learning Engineer,0,150000,M
MI,Data Engineer,0,162500,M
MI,Data Engineer,0,130000,M
SE,Analytics Engineer,100,150000,M
SE,Analytics Engineer,100,120000,M
SE,Data Engineer,0,145000,M
SE,Data Engineer,0,120000,M
SE,Applied Scientist,0,222200,L
SE,Applied Scientist,0,136000,L
SE,Data Analyst,100,54685,M
SE,Data Analyst,100,42533,M
SE,Data Engineer,0,241000,M
SE,Data Engineer,0,155000,M
SE,Data Engineer,100,220000,M
SE,Data Engineer,100,190000,M
MI,Data Scientist,0,66837,M
MI,Data Scientist,0,54685,M
EX,Staff Data Analyst,0,15000,M
MI,ETL Engineer,100,85066,M
MI,ETL Engineer,100,57723,M
EN,Data Analyst,100,85000,M
EN,Data Analyst,100,75000,M
SE,Data Engineer,0,160000,M
SE,Data Engineer,0,140000,M
MI,Machine Learning Engineer,0,300000,M
MI,Machine Learning Engineer,0,250000,M
SE,Data Scientist,0,228000,M
SE,Data Scientist,0,186000,M
SE,Data Scientist,0,190000,M
SE,Data Scientist,0,170000,M
MI,Research Engineer,0,230000,M
MI,Research Engineer,0,200000,M
SE,Data Architect,100,180000,M
SE,Data Architect,100,115000,M
SE,Data Architect,100,200000,M
SE,Data Architect,100,115000,M
SE,Data DevOps Engineer,50,53654,S
EX,Data Engineer,0,220000,M
EX,Data Engineer,0,205000,M
MI,Data Engineer,0,180000,M
MI,Data Engineer,0,130000,M
SE,Data Engineer,100,200000,M
SE,Data Engineer,100,150000,M
SE,Computer Vision Engineer,0,215000,M
SE,Computer Vision Engineer,0,170000,M
SE,Machine Learning Engineer,0,247500,M
SE,Machine Learning Engineer,0,172200,M
SE,Data Scientist,0,224000,M
SE,Data Scientist,0,176000,M
SE,Data Analyst,100,120000,M
SE,Data Analyst,100,75000,M
EN,Data Engineer,100,17022,L
SE,Applied Data Scientist,100,68318,M
MI,AI Developer,0,75020,M
SE,Data Analyst,0,140000,M
SE,Data Analyst,0,120000,M
SE,Data Engineer,0,128000,M
SE,Data Engineer,0,81500,M
SE,Data Engineer,0,145000,M
SE,Data Engineer,0,115000,M
SE,Data Engineer,0,185000,M
SE,Data Engineer,0,140000,M
EX,Head of Data,0,329500,M
EX,Head of Data,0,269600,M
SE,Data Quality Analyst,0,100000,M
SE,Data Quality Analyst,0,80000,M
SE,Data Scientist,0,250000,M
SE,Data Scientist,0,162500,M
MI,AI Developer,100,200000,M
SE,Data Engineer,0,145000,M
SE,Data Engineer,0,100000,M
EX,Data Engineer,0,145000,M
EX,Data Engineer,0,115000,M
SE,Data Scientist,0,203500,M
SE,Data Scientist,0,152000,M
SE,Data Scientist,0,239000,L
SE,Data Scientist,0,122900,L
SE,Data Scientist,0,237000,M
SE,Data Scientist,0,145000,M
SE,Data Science Manager,0,191765,M
SE,Data Science Manager,0,134236,M
SE,Analytics Engineer,100,190000,M
SE,Analytics Engineer,100,112000,M
SE,Data Scientist,100,88256,L
EN,Data Engineer,0,85000,M
EN,Data Engineer,0,65000,M
SE,Data Analyst,0,135000,M
SE,Data Analyst,0,105500,M
SE,Research Engineer,0,293000,M
SE,Research Engineer,0,185000,M
SE,Data Analyst,0,80000,M
SE,Data Analyst,0,70000,M
SE,Data Engineer,100,220000,M
SE,Data Engineer,100,160000,M
SE,Data Scientist,100,175000,M
SE,Data Scientist,100,145000,M
SE,Data Analyst,0,200000,M
SE,Data Analyst,0,148500,M
SE,Data Scientist,0,48289,M
SE,Data Scientist,0,38631,M
SE,Data Engineer,0,240500,L
SE,Data Engineer,0,123700,L
SE,Analytics Engineer,100,152900,M
SE,Analytics Engineer,100,117100,M
SE,Analytics Engineer,100,173000,M
SE,Analytics Engineer,100,113000,M
SE,Applied Scientist,0,260000,L
SE,Applied Scientist,0,136000,L
EX,Data Engineer,0,175000,M
EX,Data Engineer,0,110000,M
SE,Applied Scientist,0,260000,L
SE,Applied Scientist,0,136000,L
SE,Research Scientist,100,130000,M
SE,Research Scientist,100,110000,M
SE,Applied Scientist,100,205000,M
SE,Applied Scientist,100,184000,M
SE,Data Analyst,100,149500,M
SE,Data Analyst,100,127075,M
SE,Data Scientist,0,195000,M
SE,Data Scientist,0,160000,M
SE,Data Engineer,100,219535,M
SE,Data Engineer,100,146115,M
SE,Data Scientist,0,170000,M
SE,Data Scientist,0,135000,M
SE,Data Scientist,100,175000,M
SE,Data Scientist,100,145000,M
SE,Data Scientist,0,199000,M
SE,Data Scientist,0,162000,M
SE,Applied Scientist,0,222200,L
SE,Applied Scientist,0,136000,L
EX,Analytics Engineer,100,221000,M
EX,Analytics Engineer,100,153000,M
SE,Data Analyst,0,187000,M
SE,Data Analyst,0,128000,M
SE,Research Scientist,0,210000,M
SE,Research Scientist,0,136000,M
SE,Data Scientist,100,175000,M
SE,Data Scientist,100,100000,M
SE,Data Engineer,0,179000,M
SE,Data Engineer,0,109000,M
SE,Data Scientist,0,245000,M
SE,Data Scientist,0,180000,M
SE,Data Analyst,100,142000,M
SE,Data Analyst,100,75000,M
SE,Data Manager,0,198800,M
SE,Data Manager,0,105200,M
SE,Data Analyst,100,125000,M
SE,Data Analyst,100,112000,M
SE,Data Scientist,0,210000,M
SE,Data Scientist,0,155000,M
SE,Data Manager,100,115000,M
SE,Data Manager,100,86000,M
SE,Data Scientist,0,165000,M
SE,Data Scientist,0,140000,M
SE,Data Analyst,0,139000,M
SE,Data Analyst,0,106000,M
EN,Data Analyst,0,40663,L
SE,AI Developer,0,275000,S
SE,Machine Learning Researcher,50,50000,S
MI,Machine Learning Engineer,100,280700,M
MI,Machine Learning Engineer,100,150450,M
EN,Data Scientist,100,51753,L
SE,Data Architect,0,250500,M
SE,Data Architect,0,159500,M
SE,Data Engineer,0,145000,M
SE,Data Engineer,0,115000,M
SE,Data Analyst,0,140000,M
SE,Data Analyst,0,120000,M
EN,Data Scientist,100,130001,M
EN,Data Scientist,100,71907,M
MI,Data Scientist,100,93918,M
MI,Data Scientist,100,51962,M
SE,Data Analyst,100,175000,M
SE,Data Analyst,100,135000,M
EN,Data Engineer,0,85000,M
EN,Data Engineer,0,65000,M
SE,Machine Learning Engineer,0,257000,M
SE,Machine Learning Engineer,0,147000,M
SE,Data Engineer,100,222000,M
SE,Data Engineer,100,175000,M
