21 31
2 856921 -136
3 608420 -144
4 937406 -145
5 988116 -145
6 907069 -90
7 81469 -156
8 393076 -105
9 330150 -117
10 901674 -152
11 254907 -154
12 378194 -126
13 901066 -164
14 425702 -159
15 660423 -163
16 23308 -151
17 51979 -143
18 584064 -143
19 100462 -161
20 581461 -146
21 414015 -159
22 406659 -147
23 898998 -134
24 74876 -130
25 480953 -145
26 462727 -162
27 418926 -152
28 324461 -187
29 160922 -168
30 481230 -153
31 796864 -155
32 14545 -144
33 943600 -165
34 557782 -144
35 536135 -142
36 836498 -154
37 330870 -168
38 771770 -139
39 773985 -168
40 971744 -165
41 650270 -146
42 457355 -146
43 578994 -173
44 112965 -152
45 483902 -165
46 372152 -159
47 855118 -144
48 249633 -152
49 804018 -148
50 290722 -163
51 574612 -160
52 198295 -162
53 39242 -150
54 965055 -153
55 623319 -130
56 529816 -153
57 613888 -143
58 90691 -153
59 550112 -145
60 511839 -184
61 821668 -138
62 732270 -151
63 913518 -178
64 118746 -142
65 601386 -148
66 584296 -141
67 914774 -163
68 379079 -123
69 275530 -145
70 916388 -146
71 791733 -164
72 15990 -146
73 94823 -159
74 672407 -142
75 829377 -142
76 515393 -157
77 36255 -166
78 530563 -139
79 886182 -144
80 762595 -131
81 701292 -149
82 959011 -144
83 661003 -162
84 809889 -134
85 144420 -153
86 830050 -167
87 447165 -126
88 126902 -139
89 20218 -144
90 941826 -152
91 671191 -128
92 724078 -145
93 524058 -152
94 376672 -147
95 371401 -146
96 187059 -143
97 948242 -143
98 821592 -141
99 520465 -161
100 229555 -144
101 48432 -188
102 537088 -147
103 683283 -163
104 82715 -135
105 283127 -146
106 205126 -189
107 405159 -170
108 397885 -156
109 348204 -158
110 956222 -153
111 118144 -152
112 965313 -147
113 360077 -139
114 291795 -130
115 306955 -145
116 60544 -158
117 944573 -138
118 922584 -192
119 838100 -196
120 527893 -138
121 857008 -124
122 230848 -152
123 708957 -142
124 294508 -157
125 953539 -166
126 982095 -138
127 4922 -177
128 642540 -159
129 956545 -150
130 225278 -155
131 730529 -124
132 940080 -159
133 418851 -140
134 822968 -153
135 208230 -161
136 273650 -117
137 770874 -113
138 605054 -161
139 746126 -156
140 313650 -159
141 952592 -153
142 372197 -146
143 681101 -150
144 66705 -154
145 89510 -149
146 740106 -134
147 137618 -173
148 145075 -161
149 260122 -145
150 191344 -149
151 956048 -142
152 970894 -138
153 547819 -169
154 3868 -145
155 266130 -143
156 345579 -156
157 888572 -130
158 795420 -155
159 204909 -189
160 918263 -179
161 170947 -147
162 444210 -158
163 884155 -159
164 504014 -155
165 527071 -130
166 308578 -153
167 102452 -178
168 679182 -138
169 253101 -168
170 676213 -138
171 70542 -122
172 86787 -127
173 977904 -159
174 38047 -151
175 564213 -145
176 482294 -144
177 719511 -202
178 784421 -116
179 315622 -140
180 63228 -172
181 231960 -169
182 386361 -114
183 483417 -171
184 633719 -120
185 717297 -163
186 355997 -111
187 777483 -144
188 195209 -153
189 847643 -123
190 119737 -154
191 75467 -159
192 761871 -178
193 432141 -172
194 358872 -144
195 640792 -148
196 163264 -145
