21 31
2 261943 -94
3 883547 -97
4 470066 -95
5 982065 -98
6 205011 -97
7 191631 -96
8 772535 -97
9 233500 -98
10 735163 -96
11 529520 -97
12 699446 -98
13 380923 -96
14 819679 -98
15 830100 -98
16 152440 -97
17 362276 -98
18 848721 -99
19 449854 -100
20 341940 -97
21 918353 -98
22 303040 -98
23 629731 -98
24 884584 -98
25 439518 -99
26 731526 -97
27 117384 -95
28 172185 -97
29 163686 -94
30 736858 -98
31 308189 -98
32 603056 -99
33 4188 -95
34 885294 -97
35 150801 -94
36 621049 -97
37 442044 -95
38 936182 -97
39 200687 -98
40 44918 -100
41 842678 -99
42 243133 -97
43 533950 -94
44 739899 -99
