time,threads,variant,p1Degree,p2Degree
2.1,1,regular,500,500
0.4,1,karatsuba,500,500
3.2,2,regular,500,500
0.7,2,karatsuba,500,500
0.7,4,regular,500,500
1.0,4,karatsuba,500,500
1.1,8,regular,500,500
2.3,8,karatsuba,500,500
2.2,16,regular,500,500
2.4,16,karatsuba,500,500
18.7,1,regular,5000,5000
17.5,1,karatsuba,5000,5000
17.1,2,regular,5000,5000
7.5,2,karatsuba,5000,5000
5.2,4,regular,5000,5000
3.8,4,karatsuba,5000,5000
11.4,8,regular,5000,5000
5.4,8,karatsuba,5000,5000
6.4,16,regular,5000,5000
5.3,16,karatsuba,5000,5000
68.3,1,regular,10000,10000
54.2,1,karatsuba,10000,10000
38.6,2,regular,10000,10000
28.7,2,karatsuba,10000,10000
18.4,4,regular,10000,10000
14.2,4,karatsuba,10000,10000
13.4,8,regular,10000,10000
13.3,8,karatsuba,10000,10000
15.0,16,regular,10000,10000
15.3,16,karatsuba,10000,10000
