time(ms),threads,variant,p1Degree,p2Degree
2.1,1,regular,500,500
0.4,1,karatsuba,500,500
3.2,2,regular,500,500
0.7,2,karatsuba,500,500
0.7,4,regular,500,500
1.0,4,karatsuba,500,500
1.1,8,regular,500,500
2.3,8,karatsuba,500,500
2.2,16,regular,500,500
2.4,16,karatsuba,500,500
18.7,1,regular,5000,5000
17.5,1,karatsuba,5000,5000
17.1,2,regular,5000,5000
7.5,2,karatsuba,5000,5000
5.2,4,regular,5000,5000
3.8,4,karatsuba,5000,5000
11.4,8,regular,5000,5000
5.4,8,karatsuba,5000,5000
6.4,16,regular,5000,5000
5.3,16,karatsuba,5000,5000
68.3,1,regular,10000,10000
54.2,1,karatsuba,10000,10000
38.6,2,regular,10000,10000
28.7,2,karatsuba,10000,10000
18.4,4,regular,10000,10000
14.2,4,karatsuba,10000,10000
13.4,8,regular,10000,10000
13.3,8,karatsuba,10000,10000
15.0,16,regular,10000,10000
15.3,16,karatsuba,10000,10000
32.0,2,regularMPI,500,500
10.0,2,karatsubaMPI,500,500
22.0,4,regularMPI,500,500
13.0,4,karatsubaMPI,500,500
28.0,8,regularMPI,500,500
15.0,8,karatsubaMPI,500,500
53.0,16,regularMPI,500,500
33.0,16,karatsubaMPI,500,500
79.0,2,regularMPI,5000,5000
44.0,2,karatsubaMPI,5000,5000
70.0,4,regularMPI,5000,5000
60.0,4,karatsubaMPI,5000,5000
107.0,8,regularMPI,5000,5000
78.0,8,karatsubaMPI,5000,5000
165.0,16,regularMPI,5000,5000
120.0,16,karatsubaMPI,5000,5000
169.0,2,regularMPI,10000,10000
68.0,2,karatsubaMPI,10000,10000
137.0,4,regularMPI,10000,10000
64.0,4,karatsubaMPI,10000,10000
125.0,8,regularMPI,10000,10000
122.0,8,karatsubaMPI,10000,10000
278.0,16,regularMPI,10000,10000
160.0,16,karatsubaMPI,10000,10000
