time,threads,variant,p1Degree,p2Degree
2.1,1,regular,500,500
0.4,1,karatsuba,500,500
49.3,2,regular,500,500
0.6,2,karatsuba,500,500
21.7,4,regular,500,500
4.9,4,karatsuba,500,500
16.3,8,regular,500,500
10.3,8,karatsuba,500,500
19.2,16,regular,500,500
7.7,16,karatsuba,500,500
1.9,1,regular,1000,1000
1.2,1,karatsuba,1000,1000
147.5,2,regular,1000,1000
1.2,2,karatsuba,1000,1000
85.2,4,regular,1000,1000
12.6,4,karatsuba,1000,1000
87.2,8,regular,1000,1000
1.2,8,karatsuba,1000,1000
99.9,16,regular,1000,1000
12.8,16,karatsuba,1000,1000
4.0,1,regular,2000,2000
3.1,1,karatsuba,2000,2000
902.2,2,regular,2000,2000
47.9,2,karatsuba,2000,2000
600.9,4,regular,2000,2000
1.8,4,karatsuba,2000,2000
554.3,8,regular,2000,2000
2.4,8,karatsuba,2000,2000
607.5,16,regular,2000,2000
22.9,16,karatsuba,2000,2000
11.9,1,regular,4000,4000
9.1,1,karatsuba,4000,4000
4393.5,2,regular,4000,4000
6.0,2,karatsuba,4000,4000
4110.4,4,regular,4000,4000
4.6,4,karatsuba,4000,4000
3463.4,8,regular,4000,4000
4.5,8,karatsuba,4000,4000
2722.5,16,regular,4000,4000
23.7,16,karatsuba,4000,4000
